Classe                  EoMT-CS originale    EoMT fine-tuned
------------------------------------------------------------
road                               98.40%             97.78%
sidewalk                           87.36%             82.80%
building                           94.15%             92.51%
wall                               66.07%             59.55%
fence                              65.49%             56.58%
pole                               71.04%             58.02%
traffic light                      75.00%             67.55%
traffic sign                       82.13%             75.44%
vegetation                         93.02%             91.92%
terrain                            66.60%             66.48%
sky                                95.54%             94.74%
person                             85.38%             83.18%
rider                              71.11%             60.90%
car                                95.54%             94.41%
truck                              81.79%             79.25%
bus                                90.32%             82.09%
train                              77.36%             67.59%
motorcycle                         74.35%             62.12%
bicycle                            81.27%             79.03%
------------------------------------------------------------
mIoU medio                         81.68%             76.42%
